Trip_ID,User_ID,Origin,Destination,Start_Date,End_Date,Duration_Days,Travel_Type,Transport_Mode,Hotel_Type,Season,Budget_INR,User_Rating,AI_Recommendation_Used,Trip_Status
T0103,U0268,Goa,Mumbai,2025-09-19,2025-09-28,9,Business,Bus,Hostel,Monsoon,148043,4.4,Yes,Completed
T0104,U0129,Hyderabad,Mumbai,2026-12-03,2026-12-15,12,Family,Cruise,Hostel,Autumn,90685,3.6,No,Completed
T0105,U0213,Jaipur,London,2025-01-28,2025-01-31,3,Business,Bus,Resort,Spring,193214,4.3,No,Completed
T0106,U0066,London,Agra,2025-01-11,2025-01-15,4,Adventure,Car,Budget,Spring,199139,4.5,No,Planned
T0107,U0115,Mumbai,Rome,2026-07-09,2026-07-22,13,Leisure,Bus,Luxury,Monsoon,39516,4.8,Yes,Completed
T0108,U0173,Hyderabad,Bangkok,2026-11-18,2026-11-22,4,Cultural,Flight,Luxury,Spring,162850,4.6,Yes,Planned
T0109,U0196,Mumbai,Dubai,2025-07-28,2025-08-09,12,Adventure,Car,Resort,Summer,102493,4.5,Yes,Planned
T0110,U0035,New York,Goa,2026-11-08,2026-11-22,14,Leisure,Train,Budget,Autumn,148440,4.8,Yes,Cancelled
T0111,U0028,Mumbai,Jaipur,2026-07-01,2026-07-06,5,Romantic,Car,Hostel,Monsoon,159302,4.0,No,Completed
T0112,U0142,Kolkata,London,2025-09-18,2025-10-02,14,Adventure,Cruise,Resort,Winter,52604,4.0,Yes,Planned
T0113,U0041,Rome,Paris,2025-06-26,2025-07-06,10,Leisure,Cruise,Luxury,Monsoon,192024,4.6,Yes,Cancelled
T0114,U0008,Hyderabad,Mumbai,2026-08-27,2026-08-29,2,Leisure,Bus,Hostel,Winter,196470,4.9,Yes,Completed
T0115,U0266,Goa,Jaipur,2026-04-17,2026-04-20,3,Cultural,Train,Luxury,Winter,177708,4.4,Yes,Cancelled
T0116,U0284,Hyderabad,Chennai,2026-11-28,2026-12-08,10,Family,Bus,Standard,Spring,60583,4.3,Yes,Planned
T0117,U0007,Maldives,Chennai,2025-06-04,2025-06-12,8,Romantic,Cruise,Budget,Winter,111665,3.3,Yes,Cancelled
T0118,U0067,Pune,Maldives,2026-10-05,2026-10-10,5,Adventure,Cruise,Resort,Summer,15744,3.3,Yes,Completed
T0119,U0126,Pune,Agra,2026-01-01,2026-01-15,14,Romantic,Flight,Hostel,Spring,71516,4.2,Yes,Planned
T0120,U0092,New York,London,2025-08-23,2025-09-05,13,Family,Bus,Hostel,Summer,10138,4.1,Yes,Cancelled
T0121,U0173,London,Paris,2025-10-01,2025-10-13,12,Romantic,Cruise,Luxury,Spring,142212,4.2,Yes,Planned
T0122,U0192,Maldives,Kolkata,2025-11-12,2025-11-20,8,Leisure,Bus,Standard,Winter,30878,4.2,Yes,Planned
T0123,U0189,Hyderabad,Goa,2025-12-11,2025-12-23,12,Business,Cruise,Luxury,Monsoon,131668,4.0,No,Completed
T0124,U0136,Jaipur,Kolkata,2025-03-08,2025-03-10,2,Family,Car,Budget,Winter,130356,3.0,No,Cancelled
T0125,U0145,Bali,Delhi,2026-12-13,2026-12-27,14,Business,Train,Resort,Spring,32031,4.4,No,Completed
T0126,U0275,Bangkok,Chennai,2026-07-30,2026-08-13,14,Leisure,Flight,Budget,Summer,175396,3.4,No,Completed
T0127,U0079,Bangalore,Delhi,2026-01-13,2026-01-25,12,Leisure,Flight,Standard,Autumn,17016,4.5,No,Completed
T0128,U0198,Singapore,New York,2026-11-27,2026-12-01,4,Romantic,Bus,Hostel,Winter,184220,3.8,No,Cancelled
T0129,U0101,Mumbai,Pune,2025-02-24,2025-03-09,13,Cultural,Car,Budget,Monsoon,76852,3.1,Yes,Completed
T0130,U0237,Dubai,Goa,2025-05-02,2025-05-07,5,Business,Flight,Resort,Summer,86396,4.5,Yes,Completed
T0131,U0258,Bali,Jaipur,2026-11-24,2026-12-08,14,Cultural,Flight,Resort,Summer,30132,4.8,Yes,Planned
T0132,U0187,Kolkata,Rome,2025-02-10,2025-02-22,12,Cultural,Flight,Standard,Autumn,173317,3.0,No,Cancelled
T0133,U0157,Bali,Mumbai,2025-07-09,2025-07-21,12,Business,Train,Resort,Autumn,186743,3.1,Yes,Cancelled
T0134,U0267,New York,Singapore,2026-05-06,2026-05-17,11,Family,Cruise,Resort,Spring,123688,4.6,Yes,Cancelled
T0135,U0015,Jaipur,Bangkok,2025-07-23,2025-07-30,7,Family,Train,Hostel,Autumn,168117,4.1,No,Completed
T0136,U0252,Pune,London,2025-01-14,2025-01-27,13,Adventure,Train,Budget,Spring,38328,3.4,Yes,Planned
T0137,U0039,Hyderabad,Singapore,2026-03-08,2026-03-13,5,Leisure,Bus,Resort,Summer,121086,3.5,No,Planned
T0138,U0228,Jaipur,Paris,2025-12-30,2026-01-09,10,Leisure,Bus,Standard,Monsoon,93596,3.0,Yes,Planned
T0139,U0116,Goa,Singapore,2026-06-28,2026-06-30,2,Business,Bus,Luxury,Winter,25417,4.8,Yes,Planned
T0140,U0040,Jaipur,Goa,2026-02-14,2026-02-22,8,Family,Cruise,Resort,Summer,52998,4.9,No,Cancelled
T0141,U0024,Mumbai,Singapore,2025-05-30,2025-06-04,5,Business,Car,Luxury,Summer,72433,4.5,Yes,Planned
T0142,U0038,Chennai,Agra,2026-10-21,2026-10-25,4,Adventure,Car,Budget,Autumn,100453,4.5,Yes,Cancelled
T0143,U0162,Mumbai,New York,2025-01-19,2025-01-30,11,Cultural,Flight,Budget,Monsoon,144345,3.0,No,Completed
T0144,U0167,Paris,Jaipur,2025-04-13,2025-04-21,8,Family,Flight,Budget,Summer,160528,3.2,Yes,Planned
T0145,U0078,Hyderabad,Agra,2025-02-06,2025-02-10,4,Business,Flight,Standard,Autumn,34618,4.7,Yes,Cancelled
T0146,U0151,Mumbai,Paris,2025-09-23,2025-10-04,11,Business,Bus,Budget,Autumn,66408,3.3,No,Cancelled
T0147,U0069,Dubai,Paris,2025-11-05,2025-11-07,2,Cultural,Bus,Budget,Summer,29552,3.9,No,Planned
T0148,U0218,Agra,Bali,2026-04-02,2026-04-05,3,Cultural,Cruise,Standard,Winter,61913,4.8,No,Completed
T0149,U0295,Agra,Paris,2026-11-28,2026-12-05,7,Adventure,Cruise,Resort,Monsoon,100265,4.2,Yes,Completed
T0150,U0083,Jaipur,Paris,2025-04-18,2025-04-21,3,Business,Flight,Standard,Autumn,39084,3.3,Yes,Cancelled
T0151,U0288,Goa,Kolkata,2026-08-06,2026-08-16,10,Cultural,Flight,Standard,Summer,91132,4.2,Yes,Completed
T0152,U0245,Tokyo,Goa,2026-10-24,2026-10-29,5,Romantic,Flight,Budget,Autumn,103863,4.3,Yes,Completed
T0153,U0091,Pune,Bangkok,2025-03-29,2025-04-07,9,Cultural,Bus,Standard,Winter,120253,3.8,Yes,Planned
T0154,U0114,Chennai,Singapore,2025-03-30,2025-04-12,13,Romantic,Bus,Hostel,Spring,117237,3.9,No,Completed
T0155,U0202,London,Pune,2026-09-23,2026-09-29,6,Romantic,Cruise,Standard,Monsoon,15103,4.0,Yes,Cancelled
T0156,U0036,Goa,Bali,2026-02-05,2026-02-13,8,Cultural,Train,Budget,Summer,143663,4.6,No,Cancelled
T0157,U0285,Hyderabad,London,2025-01-27,2025-02-06,10,Family,Cruise,Resort,Autumn,37518,4.2,Yes,Cancelled
T0158,U0167,Bali,Hyderabad,2025-04-11,2025-04-22,11,Cultural,Bus,Resort,Monsoon,120107,3.6,Yes,Planned
T0159,U0282,Jaipur,Singapore,2026-07-13,2026-07-27,14,Leisure,Cruise,Hostel,Summer,47158,3.3,Yes,Cancelled
T0160,U0118,Agra,Goa,2026-01-05,2026-01-14,9,Leisure,Cruise,Luxury,Monsoon,131948,4.6,No,Planned
T0161,U0049,Bangkok,Rome,2025-11-11,2025-11-16,5,Family,Train,Standard,Autumn,128094,3.1,Yes,Completed
T0162,U0136,Kolkata,Rome,2025-02-22,2025-03-03,9,Leisure,Train,Standard,Autumn,88542,3.1,No,Planned
T0163,U0062,Singapore,Hyderabad,2025-07-12,2025-07-23,11,Business,Car,Standard,Autumn,54516,4.1,Yes,Cancelled
T0164,U0239,Rome,Jaipur,2026-05-12,2026-05-14,2,Adventure,Bus,Hostel,Winter,157839,4.1,No,Planned
T0165,U0022,Bangalore,Pune,2025-01-22,2025-01-31,9,Cultural,Cruise,Hostel,Monsoon,100880,3.9,Yes,Planned
T0166,U0276,Maldives,Delhi,2025-07-12,2025-07-19,7,Romantic,Bus,Hostel,Monsoon,179509,3.2,No,Planned
T0167,U0114,Mumbai,Jaipur,2025-11-29,2025-12-06,7,Leisure,Car,Luxury,Summer,174005,3.0,Yes,Cancelled
T0168,U0050,Maldives,New York,2025-09-08,2025-09-20,12,Romantic,Flight,Standard,Spring,120130,3.9,No,Planned
T0169,U0214,Chennai,Paris,2025-09-30,2025-10-02,2,Business,Flight,Hostel,Summer,159134,3.4,No,Completed
T0170,U0299,Jaipur,Bali,2026-12-06,2026-12-18,12,Cultural,Car,Hostel,Summer,34519,3.2,No,Planned
T0171,U0264,Chennai,Mumbai,2026-08-30,2026-09-01,2,Family,Car,Resort,Autumn,56830,4.2,Yes,Planned
T0172,U0110,Bali,Delhi,2026-10-26,2026-11-05,10,Family,Car,Standard,Spring,195639,3.0,Yes,Planned
T0173,U0238,Hyderabad,Delhi,2025-05-25,2025-06-01,7,Adventure,Car,Resort,Winter,175129,4.0,Yes,Cancelled
T0174,U0201,London,Dubai,2025-03-28,2025-04-03,6,Romantic,Car,Luxury,Spring,64353,3.9,Yes,Planned
T0175,U0072,Singapore,New York,2026-09-08,2026-09-15,7,Leisure,Cruise,Luxury,Spring,136083,4.9,Yes,Completed
T0176,U0255,Delhi,Kolkata,2025-06-28,2025-06-30,2,Family,Car,Budget,Winter,150090,4.7,Yes,Completed
T0177,U0109,Bangkok,Maldives,2026-11-03,2026-11-12,9,Cultural,Bus,Standard,Monsoon,113751,4.8,Yes,Cancelled
T0178,U0053,Dubai,Bali,2025-10-05,2025-10-10,5,Romantic,Flight,Budget,Spring,127449,4.5,Yes,Completed
T0179,U0103,Kolkata,Rome,2025-05-30,2025-06-10,11,Adventure,Flight,Budget,Summer,26061,3.1,Yes,Planned
T0180,U0273,Chennai,New York,2026-05-19,2026-05-28,9,Cultural,Bus,Resort,Summer,175714,4.3,No,Cancelled
T0181,U0296,Bangkok,Goa,2026-05-14,2026-05-23,9,Leisure,Car,Standard,Spring,14992,3.2,No,Cancelled
T0182,U0283,Hyderabad,Kolkata,2026-11-17,2026-11-21,4,Leisure,Bus,Resort,Winter,79783,4.6,Yes,Completed
T0183,U0294,Paris,Agra,2026-03-08,2026-03-15,7,Family,Train,Standard,Spring,23780,4.5,Yes,Completed
T0184,U0061,Agra,Paris,2026-03-02,2026-03-04,2,Family,Train,Hostel,Autumn,144855,4.7,Yes,Planned
T0185,U0162,Bangkok,Singapore,2026-07-26,2026-08-03,8,Romantic,Flight,Resort,Winter,41417,3.9,Yes,Completed
T0186,U0078,Chennai,Jaipur,2026-11-15,2026-11-29,14,Family,Bus,Hostel,Autumn,149920,4.7,Yes,Planned
T0187,U0013,Singapore,London,2025-06-26,2025-07-01,5,Romantic,Bus,Luxury,Spring,15368,4.4,Yes,Planned
T0188,U0296,Singapore,New York,2025-10-20,2025-10-26,6,Adventure,Car,Resort,Autumn,180863,3.4,No,Planned
T0189,U0197,Singapore,Goa,2025-03-27,2025-04-07,11,Family,Cruise,Resort,Summer,37877,4.1,Yes,Completed
T0190,U0106,Tokyo,Bangalore,2026-09-20,2026-09-29,9,Adventure,Bus,Budget,Spring,112266,4.1,Yes,Planned
T0191,U0083,London,Rome,2025-11-16,2025-11-26,10,Family,Cruise,Resort,Winter,166488,3.4,No,Completed
T0192,U0209,Goa,Delhi,2026-01-05,2026-01-11,6,Cultural,Train,Resort,Winter,50149,4.9,No,Completed
T0193,U0063,Maldives,Delhi,2026-11-18,2026-11-27,9,Romantic,Car,Hostel,Monsoon,42006,3.3,Yes,Cancelled
T0194,U0275,Mumbai,Bangalore,2025-10-18,2025-10-23,5,Family,Train,Hostel,Autumn,91326,4.1,Yes,Cancelled
T0195,U0231,Delhi,Hyderabad,2025-12-25,2025-12-30,5,Adventure,Bus,Resort,Winter,105598,3.6,No,Planned
T0196,U0159,Bangalore,New York,2025-05-02,2025-05-10,8,Adventure,Flight,Hostel,Autumn,145747,5.0,Yes,Cancelled
T0197,U0225,Goa,Pune,2025-02-12,2025-02-15,3,Adventure,Car,Budget,Spring,199323,3.1,Yes,Completed
T0198,U0096,Tokyo,Rome,2026-03-31,2026-04-07,7,Family,Train,Resort,Summer,198069,3.3,No,Planned
T0199,U0226,Bangalore,Dubai,2025-09-03,2025-09-14,11,Romantic,Car,Standard,Winter,55256,4.2,Yes,Completed
T0200,U0127,Delhi,Bangalore,2026-08-12,2026-08-19,7,Family,Car,Budget,Winter,89267,4.5,Yes,Completed
T0201,U0044,Hyderabad,London,2026-04-21,2026-05-04,13,Business,Cruise,Hostel,Monsoon,166328,3.9,No,Cancelled
T0202,U0095,Mumbai,Pune,2026-09-13,2026-09-27,14,Cultural,Train,Hostel,Autumn,157781,4.6,No,Cancelled
T0203,U0008,Paris,Kolkata,2026-12-27,2026-12-29,2,Family,Bus,Budget,Monsoon,104913,4.3,No,Cancelled
T0204,U0043,New York,Mumbai,2026-09-08,2026-09-21,13,Adventure,Car,Standard,Summer,184131,4.0,No,Cancelled
T0205,U0052,Bali,Kolkata,2025-03-03,2025-03-16,13,Cultural,Bus,Hostel,Spring,190066,4.6,Yes,Completed
T0206,U0215,Mumbai,Paris,2025-11-16,2025-11-27,11,Family,Train,Resort,Monsoon,136299,4.9,Yes,Planned
T0207,U0087,Kolkata,Pune,2026-07-24,2026-07-31,7,Leisure,Train,Budget,Summer,182275,3.8,Yes,Planned
T0208,U0178,Pune,Bali,2025-09-19,2025-09-30,11,Leisure,Cruise,Luxury,Autumn,60435,4.1,No,Cancelled
T0209,U0203,Bangkok,Agra,2026-11-04,2026-11-09,5,Business,Car,Resort,Spring,123181,3.2,No,Completed
T0210,U0155,Dubai,Chennai,2025-10-23,2025-10-29,6,Leisure,Cruise,Resort,Autumn,167195,4.9,Yes,Cancelled
T0211,U0098,Hyderabad,Paris,2025-05-22,2025-05-27,5,Family,Train,Resort,Summer,51850,4.2,Yes,Cancelled
